iter	Passed	Remaining
0	0	77
1	1	64
2	1	59
3	2	55
4	2	55
5	3	55
6	4	57
7	5	58
8	5	57
9	6	57
10	7	57
11	7	57
12	8	55
13	9	56
14	9	55
15	10	54
16	11	54
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	47
23	15	47
24	15	46
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
